,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_raw,methane_fraction_su_raw_sigma,kgh_gas_30_mean,kgh_gas_30_std,kgh_ch4_30_mean_su_raw,kgh_ch4_30_std_su_raw,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
75,2022-11-02 17:06:32,77.0,1,bc,0.0,0.0,6600.64464,0.9600000000000002,0.022499999999999996,10.955087999999996,0.013482369176843034,10.516884479999998,0.012943074409769332,0.25,0.12755102040816327,0.013973326530612241,0.24719331074687012
76,2022-11-02 17:09:44,78.0,1,bc,0.0,0.0,6530.95714,0.9600000000000002,0.022499999999999996,22.145928000000005,0.013582213115079782,21.26009088,0.013038924590476474,0.25,0.12755102040816327,0.02824735714285715,0.4991910427186258
77,2022-11-02 17:13:43,79.0,1,bc,0.0,0.0,6567.311307,0.9600000000000002,0.022499999999999996,22.220051999999995,0.011948261567389274,21.331249919999998,0.011470331104694155,0.25,0.12755102040816327,0.028341903061224485,0.5008223522299816
78,2022-11-02 17:17:02,80.0,1,bc,0.0,0.0,6561.061307,0.9600000000000002,0.022499999999999996,22.19706,0.011364456386713474,21.309177599999998,0.010909878131245235,0.25,0.12755102040816327,0.028312576530612248,0.500291867174015
79,2022-11-02 17:21:04,81.0,0,bc,1.0,1.0,6567.51964,0.9600000000000002,0.022499999999999996,30.613620000000008,0.021729354053588647,29.389075200000004,0.020860179891444994,0.25,0.12755102040816327,0.03904798469387757,0.6901410564216859
80,2022-11-02 17:24:10,82.0,0,bc,0.0,1.0,6550.804362000001,0.9600000000000002,0.022499999999999996,30.568656,0.020651433881919933,29.34590976,0.019825376526643325,0.25,0.12755102040816327,0.03899063265306123,0.6890977853315791
81,2022-11-02 17:28:31,83.0,0,bc,0.0,0.0,6547.51964,0.9600000000000002,0.022499999999999996,26.529300000000003,0.011892877033667237,25.468127999999997,0.011417161952320896,0.25,0.12755102040816327,0.033838392857142865,0.5979015556646424
82,2022-11-02 17:37:34,84.0,0,bc,0.0,0.0,6586.686307,0.9600000000000002,0.022499999999999996,26.583192,0.010099665545845073,25.519864320000003,0.00969567892401097,0.25,0.12755102040816327,0.03390713265306123,0.5990853657141972
83,2022-11-02 17:41:49,85.0,0,bc,0.0,0.0,6565.01964,0.9600000000000002,0.022499999999999996,33.79032,0.02085022847803374,32.4387072,0.02001621933891264,0.25,0.12755102040816327,0.04309989795918368,0.7616702947753407
84,2022-11-02 17:45:12,86.0,0,bc,0.0,0.0,6616.686307,0.9600000000000002,0.022499999999999996,33.706476,0.015415153672885455,32.35821695999999,0.014798547525970355,0.25,0.12755102040816327,0.04299295408163266,0.7596621156530414
85,2022-11-02 17:49:36,87.0,0,pc,0.0,0.0,6549.186307,0.9600000000000002,0.022499999999999996,848.8776,9.707315554918289,814.9224959999998,9.319022932721548,0.25,0.12755102040816327,1.0827520408163267,21.2773336034292
86,2022-11-02 17:52:40,88.0,0,pc,0.0,0.0,6618.873807,0.9600000000000002,0.022499999999999996,844.1496,7.324938345509606,810.3836159999998,7.031940811689231,0.25,0.12755102040816327,1.0767214285714286,20.279659297618313
87,2022-11-02 18:05:00,89.0,0,pc,0.0,0.0,6540.852972999999,0.9600000000000002,0.022499999999999996,772.9872,6.752363889524289,742.0677119999999,6.482269333943312,0.25,0.12755102040816327,0.9859530612244899,18.58506778303622
88,2022-11-04 16:43:14,90.0,0,bc,1.0,1.0,6389.811307,0.9600000000000002,0.022499999999999996,12.694080000000001,3.8386570220541345,12.186316799999997,3.6851107411719695,0.25,0.12755102040816327,0.016191428571428575,3.6961953059833665
89,2022-11-04 16:47:43,91.0,0,bc,1.0,1.0,6576.964083999999,0.9600000000000002,0.022499999999999996,9.682884000000001,0.011739932914100639,9.295568639999997,0.011270335597537061,0.25,0.12755102040816327,0.012350617346938778,0.2184781672125015
90,2022-11-04 16:51:24,92.0,0,bc,0.0,0.0,6592.936307,0.9600000000000002,0.022499999999999996,9.747384,0.01647231357407805,9.357488640000001,0.01581342103111486,0.25,0.12755102040816327,0.012432887755102042,0.22020919924930488
91,2022-11-04 16:54:57,93.0,0,bc,0.0,0.0,6585.32267,0.9600000000000002,0.022499999999999996,9.733871999999998,0.010401932976864077,9.344517119999999,0.009985855657789467,0.25,0.12755102040816327,0.012415653061224488,0.21956340592931192
92,2022-11-04 16:58:47,94.0,1,pc,0.0,1.0,6642.51964,0.9600000000000002,0.022499999999999996,669.0756,1.7886098936671866,642.312576,1.7170654979204891,0.25,0.12755102040816327,0.853412755102041,15.173941321818928
93,2022-11-04 17:02:21,95.0,1,pc,0.0,1.0,6524.811307,0.9600000000000002,0.022499999999999996,685.482,1.9629440942730259,658.0627199999999,1.8844263305020907,0.25,0.12755102040816327,0.8743392857142858,15.560693056108802
94,2022-11-04 17:06:31,96.0,0,bc,1.0,1.0,6569.735548999999,0.9600000000000002,0.022499999999999996,7.73136,0.011712359519637422,7.422105599999999,0.011243865138851838,0.25,0.12755102040816327,0.009861428571428571,0.17457548173397675
95,2022-11-04 17:10:14,97.0,0,bc,1.0,1.0,6482.102972999999,0.9600000000000002,0.022499999999999996,7.746995999999999,0.007415676591542123,7.437116159999999,0.007119049527880495,0.25,0.12755102040816327,0.009881372448979592,0.17471044752183612
96,2022-11-04 17:14:19,98.0,0,bc,1.0,1.0,6583.248807,0.9600000000000002,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2022-11-04 17:17:58,99.0,0,bc,1.0,1.0,6471.061307,0.9600000000000002,0.022499999999999996,12.790608,0.01579019128097121,12.27898368,0.015158583629732249,0.25,0.12755102040816327,0.016314551020408165,0.2886128969157817
