,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_30_mean,gas_kgh_30_std,meter_sigma,methane_fraction_su_normalized,methane_fraction_su_normalized_sigma,ch4_kgh_30_mean_su_normalized,ch4_kgh_sigma
0,2022-10-31 17:03:54,1.0,0,mc,0.0,0.0,6587.102972999999,224.2236,0.1390915153960607,0.28599948979591844,0.9299999999999999,0.022499999999999996,208.52794799999998,5.053693267626991
1,2022-10-31 17:06:59,2.0,0,mc,0.0,0.0,6323.76964,224.57652000000004,0.17197427714632277,0.28644964285714286,0.9299999999999999,0.022499999999999996,208.85616360000003,5.062516225534821
2,2022-10-31 17:10:46,3.0,1,mc,0.0,0.0,6457.866862000001,315.70259999999996,1.8909140449838613,0.40268188775510205,0.9299999999999999,0.022499999999999996,293.60341800000003,7.3273280149546896
3,2022-10-31 17:14:04,4.0,0,mc,0.0,0.0,6475.540472999999,115.7964,0.0990302775017254,0.14769948979591832,0.9299999999999999,0.022499999999999996,107.69065200000001,2.6106623968354357
4,2022-10-31 17:17:09,5.0,0,mc,0.0,0.0,6556.686307,114.31943999999999,0.07902827778495146,0.14581561224489795,0.9299999999999999,0.022499999999999996,106.31707920000001,2.576807986078703
5,2022-10-31 17:20:01,6.0,0,mc,0.0,0.0,6488.665472999999,62.625840000000004,0.04900573928386928,0.07987989795918364,0.9299999999999999,0.022499999999999996,58.2420312,1.4117741517297413
6,2022-10-31 17:23:14,7.0,1,mc,0.0,0.0,6541.89464,115.39980000000001,0.05733365142921697,0.14719362244897957,0.9299999999999999,0.022499999999999996,107.32181399999999,2.600648155061514
7,2022-10-31 17:25:51,8.0,0,pc,0.0,1.0,6553.352972999999,692.2800000000002,2.4876225459330574,0.8830102040816328,0.9299999999999999,0.022499999999999996,643.8204000000002,15.768567515655722
8,2022-10-31 17:29:06,9.0,0,pc,0.0,0.0,6526.061307,710.3880000000001,1.8421600514538363,0.906107142857143,0.9299999999999999,0.022499999999999996,660.66084,16.097354386660697
9,2022-10-31 17:32:00,10.0,0,bc,0.0,0.0,6566.998807,21.836987999999998,0.3466835662078904,0.02785330102040812,0.9299999999999999,0.022499999999999996,20.30839884,0.5882433590499544
10,2022-10-31 17:35:20,11.0,0,mc,0.0,0.0,6564.186307,287.63100000000003,0.30903183632446085,0.3668762755102041,0.9299999999999999,0.022499999999999996,267.49683,6.4870548826539585
11,2022-10-31 17:38:16,12.0,1,mc,1.0,1.0,6521.165472999999,330.29964,0.20251863362544556,0.4213005612244898,0.9299999999999999,0.022499999999999996,307.17866520000007,7.4444459298656325
12,2022-10-31 17:41:41,13.0,1,mc,0.0,0.0,6585.748807,331.4333999999999,0.2731031332286605,0.42274668367346935,0.9299999999999999,0.022499999999999996,308.23306199999996,7.471926068517344
13,2022-10-31 17:44:47,14.0,1,mc,0.0,0.0,6580.94767,273.14484000000004,0.3932045721837464,0.3483990306122449,0.9299999999999999,0.022499999999999996,254.0247012,6.165148635325758
14,2022-10-31 17:48:10,15.0,1,mc,0.0,0.0,6545.436307,272.15328000000005,0.36008407294159345,0.3471342857142857,0.9299999999999999,0.022499999999999996,253.1025504,6.1410903730806385
15,2022-10-31 17:51:19,16.0,0,pc,0.0,1.0,6564.39464,999.3384,7.178894168996716,1.2746663265306126,0.9299999999999999,0.022499999999999996,929.3847119999999,23.48530511347524
16,2022-10-31 17:54:34,17.0,1,pc,1.0,1.0,6584.186307,448.6824,1.0735503971274063,0.5722989795918368,0.9299999999999999,0.022499999999999996,417.27463199999994,10.15855580389991
17,2022-10-31 17:57:48,18.0,0,mc,1.0,1.0,6538.561307,174.38951999999998,0.1755880256698077,0.22243561224489794,0.9299999999999999,0.022499999999999996,162.18225360000002,3.9326053120764204
18,2022-10-31 18:01:08,19.0,0,pc,1.0,1.0,6562.415472999999,1167.2279999999998,17.819108441646904,1.4888112244897962,0.9299999999999999,0.022499999999999996,1085.52204,31.084826288817283
19,2022-10-31 18:04:17,20.0,0,pc,0.0,0.0,6532.51964,1193.2595999999999,15.96803960847828,1.5220147959183674,0.9299999999999999,0.022499999999999996,1109.731428,30.714291502825255
20,2022-10-31 18:07:32,21.0,0,bc,1.0,1.0,6566.061307,18.854292,0.008609160478114577,0.02404884183673465,0.9299999999999999,0.022499999999999996,17.53449156,0.42488616939780555
21,2022-10-31 18:10:53,22.0,0,pc,1.0,1.0,6568.526583999999,649.4339999999999,2.1965002256725086,0.8283596938775512,0.9299999999999999,0.022499999999999996,603.97362,14.774456785835717
22,2022-10-31 18:14:30,23.0,0,pc,0.0,1.0,6569.811307,656.3303999999999,1.851032174313792,0.8371561224489797,0.9299999999999999,0.022499999999999996,610.3872719999999,14.887803041339136
23,2022-10-31 18:17:42,24.0,0,bc,1.0,1.0,6559.498807,23.663603999999996,0.013244694865075856,0.030183168367346882,0.9299999999999999,0.022499999999999996,22.007151719999992,0.5333127903899326
24,2022-10-31 18:21:14,25.0,0,bc,0.0,0.0,6568.352972999999,23.282543999999998,0.021708746942030215,0.029697122448979534,0.9299999999999999,0.022499999999999996,21.65276592,0.5249731239524404
25,2022-10-31 18:24:19,26.0,0,pc,0.0,1.0,6556.477972999999,482.53679999999997,0.8550258072330236,0.615480612244898,0.9299999999999999,0.022499999999999996,448.7592240000001,10.901196387556734
26,2022-10-31 18:27:41,27.0,0,pc,0.0,0.0,6579.602972999999,490.0403999999999,0.7916999431602861,0.6250515306122449,0.9299999999999999,0.022499999999999996,455.73757200000006,11.065743815272013
