,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_normalized,methane_fraction_su_normalized_sigma,kgh_gas_60_mean,kgh_gas_60_std,kgh_ch4_60_mean_su_normalized,kgh_ch4_60_std_su_normalized,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
1,2022-10-10 17:14:21,2.0,1,mc,0.0,0.0,10398.14464,0.9399999999999996,0.022499999999999996,7.058646000000001,0.07519559122489171,6.63512724,0.07068385575139821,1.0986181497509309,0.5605194641586382,0.039565084736055155,0.17777242757356945
2,2022-10-10 17:28:38,3.0,1,mc,0.0,0.0,10419.39464,0.9399999999999996,0.022499999999999996,9.223080000000003,0.0739484393894529,8.669695200000001,0.06951153302608577,0.8425502778852083,0.42987259075775935,0.03964749294366077,0.22200239835314017
3,2022-10-10 17:43:20,4.0,1,mc,0.0,0.0,10416.32015,0.9399999999999996,0.022499999999999996,4.74927,0.06436993871497376,4.464313799999999,0.0605077423920754,1.6278054311992145,0.83051297510164,0.03944330357260966,0.12827557842644519
4,2022-10-10 17:55:36,5.0,0,mc,0.0,0.0,10371.44592,0.9399999999999996,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-10-10 18:07:16,6.0,0,mc,1.0,1.0,10396.95146,0.9399999999999996,0.022499999999999996,97.6041,0.11980002829574446,91.74785399999999,0.11261202659800003,0.25,0.12755102040816327,0.1244950255102041,2.2020893636492365
6,2022-10-10 18:18:57,7.0,1,mc,0.0,0.0,10330.29742,0.9399999999999996,0.022499999999999996,99.41243999999999,0.11123698202257896,93.44769360000001,0.1045627631012238,0.25,0.12755102040816327,0.12680158163265307,2.2423926462043506
7,2022-10-10 18:30:37,8.0,0,mc,0.0,0.0,10364.923490000001,0.9399999999999996,0.022499999999999996,37.20908400000001,5.112177254759331,34.97653896,4.805446619473771,0.25,0.12755102040816327,0.04746056632653063,4.878034308712859
8,2022-10-10 18:43:29,9.0,0,mc,0.0,0.0,10393.96195,0.9399999999999996,0.022499999999999996,42.01020000000001,0.06896289348603384,39.489588,0.06482511987687282,0.25,0.12755102040816327,0.053584438775510224,0.9487877410244112
9,2022-10-10 18:56:07,10.0,1,mc,0.0,0.0,10387.311310000001,0.9399999999999996,0.022499999999999996,32.661552,5.270145512527739,30.70185888,4.953936781776074,0.25,0.12755102040816327,0.04166014285714286,5.008301012411579
10,2022-10-10 19:08:38,11.0,1,mc,0.0,0.0,10356.373810000001,0.9399999999999996,0.022499999999999996,152.90820000000002,10.53549272127317,143.73370800000004,9.903363157996779,0.25,0.12755102040816327,0.19503596938775514,10.485552092011957
11,2022-10-10 19:20:21,12.0,1,mc,0.0,0.0,10258.25682,0.9399999999999996,0.022499999999999996,63.02004,0.08073649795287675,59.2388376,0.0758923080757035,0.25,0.12755102040816327,0.08038270408163266,1.4219893360438054
12,2022-10-10 19:31:51,13.0,1,mc,0.0,0.0,10290.66358,0.9399999999999996,0.022499999999999996,84.60792,0.10428273952439066,79.53144479999999,0.09802577515292778,0.25,0.12755102040816327,0.10791826530612245,1.9088977076745115
13,2022-10-10 19:44:20,14.0,0,mc,0.0,0.0,10424.39464,0.9399999999999996,0.022499999999999996,131.66538,0.21239130404491463,123.7654572,0.19964782580221918,0.25,0.12755102040816327,0.16794053571428572,2.973384443968198
14,2022-10-10 19:56:37,15.0,1,mc,0.0,0.0,10370.436310000001,0.9399999999999996,0.022499999999999996,225.6747,0.5268323896455699,212.134218,0.4952224462668338,0.25,0.12755102040816327,0.28785038265306123,5.108943164696534
15,2022-10-10 20:08:46,16.0,1,mc,0.0,0.0,10401.61686,0.9399999999999996,0.022499999999999996,219.88194000000001,5.1458088755275035,206.68902359999996,4.837060342995854,0.25,0.12755102040816327,0.28046165816326535,6.924078625863828
16,2022-10-10 20:20:13,17.0,1,mc,0.0,0.0,10250.436310000001,0.9399999999999996,0.022499999999999996,244.83017999999998,0.632974993160157,230.1403692,0.5949964935705482,0.25,0.12755102040816327,0.31228339285714285,5.54848945082649
17,2022-10-10 20:31:40,18.0,0,mc,0.0,0.0,10295.436310000001,0.9399999999999996,0.022499999999999996,77.99604,0.5615841066851495,73.3162776,0.5278890602840401,0.25,0.12755102040816327,0.09948474489795918,1.8349725626313287
