,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_su_normalized,methane_fraction_su_normalized_sigma,kgh_gas_90_mean,kgh_gas_90_std,kgh_ch4_90_mean_su_normalized,kgh_ch4_90_std_su_normalized,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
0,2022-10-25 17:15:00,1.0,0,mc,0.0,1.0,41623.97797,0.9000000000000004,0.022499999999999996,216.76868,0.3909722939693873,195.091812,0.35187506457244844,0.25,0.12755102040816327,0.27649066326530614,4.896299382680451
1,2022-10-25 17:32:00,2.0,0,mc,0.0,0.0,41630.46886,0.9000000000000004,0.022499999999999996,102.78972000000002,0.10894434327942072,92.51074799999999,0.09804990895147914,0.25,0.12755102040816327,0.1311093367346939,2.317851692293982
2,2022-10-25 17:51:00,3.0,0,pc,1.0,1.0,42633.14464,0.88,0.022499999999999996,1042.5792,28.962296179378157,917.469696,25.486820637852762,0.25,0.12755102040816327,1.3298204081632652,34.65871835169524
3,2022-10-25 18:09:00,4.0,0,pc,0.0,0.0,42635.03948,0.88,0.022499999999999996,1033.2316,26.220447929735204,909.243808,23.073994178166977,0.25,0.12755102040816327,1.317897448979592,32.77514749879951
4,2022-10-25 18:27:00,5.0,0,None,1.0,1.0,43640.086839999996,0.88,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-10-25 18:47:00,6.0,0,pc,0.0,0.0,43643.14464,0.88,0.022499999999999996,492.8612,2.181632535819975,433.71785600000004,1.9198366315215758,0.25,0.12755102040816327,0.6286494897959184,11.267923409397293
6,2022-10-25 19:07:00,7.0,0,bc,0.0,0.0,43626.23549,0.88,0.022499999999999996,25.708952000000004,0.03997117892018781,22.623877759999996,0.03517463744976521,0.25,0.12755102040816327,0.03279203061224491,0.5802379047553884
7,2022-10-25 19:27:00,8.0,0,pc,0.0,0.0,43632.51964,0.88,0.022499999999999996,667.7708000000001,5.718419313297744,587.6383040000001,5.03220899570201,0.25,0.12755102040816327,0.8517484693877553,15.862876244348188
8,2022-10-25 20:10:00,9.0,0,mc,0.0,0.0,44646.26964,0.88,0.022499999999999996,149.58376,0.16967303706133663,131.6337088,0.1493122726139765,0.25,0.12755102040816327,0.190795612244898,3.37312627573756
9,2022-10-25 20:29:00,10.0,0,mc,0.0,1.0,44667.51964,0.88,0.022499999999999996,78.753,0.09542308391484809,69.30264000000001,0.08397231384506554,0.25,0.12755102040816327,0.10045025510204082,1.7761321643680672
10,2022-10-25 20:46:00,11.0,0,mc,0.0,0.0,44667.51964,0.88,0.022499999999999996,66.36331,0.06597239897840727,58.39971280000001,0.0580557111009984,0.25,0.12755102040816327,0.08464707908163266,1.496158131182625
11,2022-10-29 16:25:00,12.0,0,None,0.0,0.0,42617.543679999995,0.9200000000000002,0.022499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-10-29 16:50:00,13.0,0,mc,0.0,0.0,42642.51964,0.9200000000000002,0.022499999999999996,356.53052,0.678208146631478,328.00807840000004,0.6239514949009607,0.25,0.12755102040816327,0.4547583163265307,8.057035667394638
13,2022-10-29 17:17:00,14.0,0,pc,0.0,0.0,42642.51964,0.9200000000000002,0.022499999999999996,704.2228,4.733653740487523,647.8849759999999,4.354961441248524,0.25,0.12755102040816327,0.8982433673469389,16.453359428145255
14,2022-10-29 17:43:00,15.0,0,pc,1.0,1.0,43641.474559999995,0.9200000000000002,0.022499999999999996,425.4076000000001,1.8049266958877006,391.374992,1.6605325602166945,0.25,0.12755102040816327,0.5426117346938778,9.727458946057466
15,2022-10-29 18:07:00,16.0,0,bc,0.0,0.0,43640.198209999995,0.9200000000000002,0.022499999999999996,35.280156,0.054103372068786314,32.45774352000001,0.049775102303283324,0.25,0.12755102040816327,0.045000198979591836,0.7964392936408431
16,2022-10-29 18:31:00,17.0,0,mc,0.0,0.0,43625.62149,0.9200000000000002,0.022499999999999996,353.90868,0.8325152908404425,325.59598559999995,0.7659140675732079,0.25,0.12755102040816327,0.4514141326530613,8.010467972097178
17,2022-10-29 18:54:00,18.0,0,pc,0.0,0.0,43635.8699,0.9200000000000002,0.022499999999999996,859.2347999999998,11.544242196529611,790.4960159999999,10.620702820807244,0.25,0.12755102040816327,1.0959627551020408,22.081043160498073
18,2022-10-29 19:17:00,19.0,0,pc,0.0,0.0,43617.51964,0.9200000000000002,0.022499999999999996,1113.7124,31.486466483450997,1024.615408,28.967549164774923,0.25,0.12755102040816327,1.420551530612245,38.32436284181387
19,2022-10-29 19:38:00,20.0,0,pc,0.0,1.0,44617.51964,0.9200000000000002,0.022499999999999996,1357.3319999999999,39.65095410275051,1248.7454400000001,36.47887777453047,0.25,0.12755102040816327,1.7312908163265306,47.601840967264266
20,2022-10-29 20:00:00,21.0,0,pc,0.0,0.0,44608.46226,0.9200000000000002,0.022499999999999996,614.0908,4.119116669788061,564.963536,3.7895873362050168,0.25,0.12755102040816327,0.783279081632653,14.345415224046604
21,2022-10-29 20:21:00,22.0,0,mc,0.0,0.0,44617.51964,0.9200000000000002,0.022499999999999996,214.31348000000003,0.305907060572104,197.1684016,0.2814344957263371,0.25,0.12755102040816327,0.273359030612245,4.836801709655428
22,2022-10-29 21:02:00,24.0,0,mc,0.0,0.0,44627.869099999996,0.9200000000000002,0.022499999999999996,177.108485,0.13592582917354953,162.93980620000002,0.1250517628396651,0.25,0.12755102040816327,0.2259036798469388,3.9923158572797712
