,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,methane_fraction_km,methane_fraction_km_sigma,kgh_gas_60_mean,kgh_gas_60_std,kgh_ch4_60_mean_km,kgh_ch4_60_std_km,meter_uncertainty,meter_sigma_percent,meter_sigma_kgh_gas,kgh_ch4_sigma
100,2022-10-25 18:53:04,101,0,bc,1,1,1319.78514722,0.950644,0.0013657668785947998,1.684839,0.023402854754154837,1.601682086316,0.022247783454908767,0.6751807312353129,0.34447996491597593,0.00580393279609068,0.02303695803628366
101,2022-10-25 18:56:22,102,0,bc,1,1,1268.58271776,0.950644,0.0013657668785947998,1.7095422,0.023086891564886212,1.6251660351768002,0.021947414944809663,0.6654719485047929,0.33952650433918,0.005804348871863114,0.022750546487398004
102,2022-10-25 18:59:31,103,0,bc,1,1,1302.914521023972,0.950644,0.0013657668785947998,26.102999999999998,0.049982469062255445,24.814660332000003,0.047515534319219004,0.25,0.12755102040816327,0.033294642857142856,0.06730899129948108
103,2022-10-25 19:02:47,104,1,bc,0,0,1284.910364936028,0.950644,0.0013657668785947998,26.024448,0.03163257004193026,24.739985344512004,0.030071312914940578,0.25,0.12755102040816327,0.03319444897959184,0.056244108927462094
104,2022-10-25 19:05:57,105,1,bc,0,0,1292.620338936028,0.950644,0.0013657668785947998,25.762769999999996,0.0390279459197107,24.49122272388,0.037101682620897324,0.25,0.12755102040816327,0.03286067602040816,0.059920347046475954
105,2022-10-25 19:09:08,106,1,bc,0,0,1277.88718,0.950644,0.0013657668785947998,25.630086000000002,0.030050288089089782,24.365087475383998,0.028567126070164678,0.25,0.12755102040816327,0.0326914362244898,0.054838383104085515
106,2022-10-25 19:12:18,107,0,mc,1,1,1308.6696613000001,0.950644,0.0013657668785947998,149.59686000000002,0.24212531088156006,142.21335737784,0.23017497403769108,0.25,0.12755102040816327,0.19081232142857146,0.3572518780663971
107,2022-10-25 19:15:37,108,0,mc,1,1,1273.92720612,0.950644,0.0013657668785947998,149.65254000000002,0.19028506465434525,142.26628923576,0.18089335500326437,0.25,0.12755102040816327,0.19088334183673472,0.3277596226524203
108,2022-10-25 19:18:48,109,0,pc,1,1,1291.67326968,0.950644,0.0013657668785947998,647.4707999999999,6.218779968635732,615.5142311952001,5.911845864503743,0.25,0.12755102040816327,0.825855612244898,6.028952759115949
109,2022-10-25 19:22:07,110,1,pc,0,1,1274.3985535760282,0.950644,0.0013657668785947998,663.5226,5.157336052587815,630.7737785544,4.902790574376294,0.25,0.12755102040816327,0.8463298469387756,5.050336544894826
110,2022-10-25 19:25:20,111,1,pc,0,0,1265.460451583972,0.950644,0.0013657668785947998,667.2443999999998,5.467142045198098,634.3118853935999,5.197305782415295,0.25,0.12755102040816327,0.8510770408163264,5.338263011067772
111,2022-10-25 19:28:44,112,1,pc,0,0,1263.0621575439718,0.950644,0.0013657668785947998,669.0732000000002,4.3492196564831,636.0504231407999,4.134559571117723,0.25,0.12755102040816327,0.8534096938775513,4.311357000547912
112,2022-10-25 19:31:53,113,0,mc,1,1,1273.486480056028,0.950644,0.0013657668785947998,76.00134000000001,0.0925129641854212,72.25021786296,0.08794689432508553,0.25,0.12755102040816327,0.09694048469387757,0.16432232881001993
113,2022-10-25 19:35:15,114,0,mc,1,1,1249.5325202999998,0.950644,0.0013657668785947998,75.45336,0.0807732192570823,71.72928396384,0.07678657624742968,0.25,0.12755102040816327,0.09624153061224491,0.15775459925154073
114,2022-10-25 19:38:28,115,0,bc,1,1,1346.002886576028,0.950644,0.0013657668785947998,6.403974,0.027269407780110763,6.087899459256001,0.025923498889715617,0.25,0.12755102040816327,0.00816833418367347,0.028439834182142357
115,2022-10-25 19:41:50,116,0,pc,1,1,1327.54433382,0.950644,0.0013657668785947998,353.74565999999993,1.7017170874826724,336.28618920504,1.6177271389128751,0.25,0.12755102040816327,0.4512061989795918,1.74196617416845
116,2022-10-25 19:45:00,117,1,pc,0,1,1313.131056783972,0.950644,0.0013657668785947998,358.37664,1.6998842173133968,340.68860255616,1.6159847318836749,0.25,0.12755102040816327,0.45711306122448986,1.7435056552238128
117,2022-10-25 19:48:12,118,1,pc,0,0,1320.00332308,0.950644,0.0013657668785947998,363.34890000000007,1.6516582083736742,345.4154516916,1.5701389658411862,0.25,0.12755102040816327,0.4634552295918369,1.70461487941388
